final  grid      S   houses (chance)  cross  heading  height  focal  error m
    1     1   18.0       31 ( 7.3)      4      227     366   1988        8
    2     5    8.1       12 ( 7.9)      5      347     130    784     2977
    3     3    5.8        5 ( 1.9)      3       11     174   1122     2462
    4    12    5.1       10 ( 7.0)      4       90     142    817     2642
    5     4    4.8        2 ( 1.4)      3      226     185   1104     1313
    6     6    4.3        6 ( 2.8)      2      300     158    899      435
    7     2    3.0        5 ( 1.7)      1       28     231   1134     2366
    8    10    2.9        3 ( 0.9)      1      310     374   2572     1601
    9     7    2.2        3 ( 1.8)      1       58     405   2027     1615
   10     8    2.2        5 ( 2.4)      1      357      74    569     2383
   11    11    1.2        2 ( 0.4)      0       66     589   2441     1151
   12     9    0.9        2 ( 0.6)      0      115      92    410     1083
margin S(best) - S(second): 9.9
